satellite_id,hour,hours_since_upload,clock_error_ns,ephemeris_error_m
G01,0,0,0.2164,0.2652
G01,1,1,0.6177,1.5289
G01,2,0,-0.4305,2.5843
G01,3,1,-0.9451,3.6252
G01,4,0,0.658,2.5885
G01,5,1,0.7612,1.7545
G01,6,0,-0.5078,-0.2289
G01,7,1,0.6175,-1.1111
G01,8,0,2.0345,-2.5334
G01,9,1,1.2128,-3.3778
G01,10,0,-0.4029,-2.8715
G01,11,1,1.3562,-2.2797
G01,12,0,-0.7171,-0.7042
G01,13,1,0.7293,1.0545
G01,14,0,-0.0904,2.5228
G01,15,1,0.1746,3.563
G01,16,0,2.2542,3.534
G01,17,1,1.3376,2.6864
G01,18,0,-0.6699,0.5689
G01,19,1,1.7805,-0.7751
G01,20,0,-0.9192,-2.4112
G01,21,1,0.3165,-3.0427
G01,22,0,0.5889,-3.0562
G01,23,1,1.899,-2.3748
G01,24,0,-0.0106,-1.4607
G01,25,1,0.0487,0.6936
G01,26,0,0.0247,1.8102
G01,27,1,2.1453,2.8126
G01,28,0,0.8223,3.4024
G01,29,1,0.4384,2.8448
G01,30,0,0.9419,1.8056
G01,31,1,2.4151,0.1161
G01,32,0,2.8147,-1.878
G01,33,1,0.959,-2.8046
G01,34,0,-0.8875,-3.0533
G01,35,1,1.9811,-2.9233
G01,36,0,-0.1894,-2.273
G01,37,1,0.6811,-0.0648
G01,38,0,0.073,1.2266
G01,39,1,1.6944,3.0045
G01,40,0,0.4494,3.3784
G01,41,1,2.3817,3.2082
G01,42,0,0.0227,2.3223
G01,43,1,1.1316,0.593
G01,44,0,1.2626,-1.1041
G01,45,1,-0.7156,-2.2954
G01,46,0,-0.0192,-3.3078
G01,47,1,1.7067,-3.2085
G01,48,0,0.4667,-2.9199
G01,49,1,0.6369,-0.5443
G01,50,0,0.2981,0.2669
G01,51,1,0.549,1.9867
G01,52,0,0.4044,3.0222
G01,53,1,0.882,3.3365
G01,54,0,0.7079,2.541
G01,55,1,0.96,1.2156
G01,56,0,0.6135,-0.3795
G01,57,1,2.013,-2.1881
G01,58,0,-0.2387,-2.8052
G01,59,1,0.8089,-2.9101
G01,60,0,1.4645,-2.4372
G01,61,1,0.7602,-1.5068
G01,62,0,0.0049,0.2875
G01,63,1,2.7788,1.9354
G01,64,0,0.4071,2.7545
G01,65,1,1.9713,3.0569
G01,66,0,0.8284,2.7281
G01,67,1,1.9617,1.8697
G01,68,0,0.124,0.0551
G01,69,1,1.2165,-1.1634
G01,70,0,1.2469,-2.5261
G01,71,1,2.5631,-2.5827
G01,72,0,0.1984,-3.1581
G01,73,1,0.4015,-1.7659
G01,74,0,1.47,-0.8448
G01,75,1,2.0095,1.4184
G01,76,0,0.6505,2.6738
G01,77,1,1.6786,2.968
G01,78,0,1.3011,3.5566
